Date,Open,High,Low,Close,Adj Close,Volume
2024-12-13,627.22,631.08,616.89,620.35,618.41,8453300
2024-12-16,629.98,631.15,618.58,624.24,622.79,10885600
2024-12-17,626.17,632.37,616.54,619.44,618.0,12897800
2024-12-18,621.0,627.36,596.32,597.19,595.8,17075500
2024-12-19,610.39,611.52,595.0,595.57,594.18,14958100
2024-12-20,590.58,603.11,580.0,585.25,583.89,48989400
2024-12-23,589.6,601.09,586.25,599.85,598.45,10205800
2024-12-24,602.72,607.99,599.28,607.75,606.33,4726100
2024-12-26,605.48,606.3,598.94,603.35,601.94,6081400
2024-12-27,599.41,601.85,589.8,599.81,598.41,8084200
2024-12-30,588.75,596.94,585.58,591.24,589.86,7025900
2024-12-31,592.27,593.97,583.85,585.51,584.15,6019500
2025-01-02,589.72,604.91,587.82,599.24,597.84,12682300
2025-01-03,604.76,609.5,596.41,604.63,603.22,11436800
2025-01-06,611.83,630.99,605.62,630.2,628.73,14560800
2025-01-07,631.7,632.1,608.23,617.89,616.45,12071500
2025-01-08,613.4,616.44,602.79,610.72,609.3,10085800
2025-01-10,610.03,629.91,597.34,615.86,614.42,19256600
2025-01-13,607.1,608.97,598.45,608.33,606.91,10785000
2025-01-14,605.07,605.49,588.55,594.25,592.87,13598000
2025-01-15,610.21,622.46,606.5,617.12,615.68,15524300
2025-01-16,611.5,616.25,609.71,611.3,609.88,8355300
2025-01-17,624.05,624.97,603.67,612.77,611.34,17280600
2025-01-21,617.83,621.5,609.01,616.46,615.02,11674000
2025-01-22,623.3,633.7,619.43,623.5,622.05,12274000
2025-01-23,627.36,636.6,621.15,636.45,634.97,9910200
2025-01-24,636.4,652.0,634.2,647.49,645.98,19065300
2025-01-27,626.61,663.87,625.1,659.88,658.34,28399200
2025-01-28,666.0,682.58,659.47,674.33,672.76,20950100
2025-01-29,675.0,681.05,665.67,676.49,674.91,21377800
2025-01-30,696.82,710.79,676.1,687.0,685.4,29322900
2025-01-31,691.0,705.3,685.58,689.18,687.57,19303900
2025-02-03,675.91,704.0,675.25,697.46,695.83,21415700
2025-02-04,702.5,707.71,691.61,704.19,702.55,13826300
2025-02-05,703.55,718.14,699.01,704.87,703.23,17778200
2025-02-06,705.88,718.9,703.5,711.99,710.33,13080700
2025-02-07,716.8,725.01,711.75,714.52,712.85,16427100
2025-02-10,718.56,721.2,711.33,717.4,715.73,12904300
2025-02-11,713.32,723.66,710.04,719.8,718.12,12998000
2025-02-12,715.3,727.1,712.6,725.38,723.69,12016500
2025-02-13,721.52,729.0,718.04,728.56,726.86,12569100
