Date,GOOG
2021-01-04,85.8246841430664
2021-01-05,86.45437622070312
2021-01-06,86.17477416992188
2021-01-07,88.755126953125
2021-01-08,89.746337890625
2021-01-11,87.735595703125
2021-01-12,86.73396301269531
2021-01-13,87.12379455566406
2021-01-14,86.4176254272461
2021-01-15,86.219482421875
2021-01-19,88.93439483642578
2021-01-20,93.7037582397461
2021-01-21,93.91978454589844
2021-01-22,94.40644836425781
2021-01-25,94.32451629638672
2021-01-26,95.21044921875
2021-01-27,90.91732025146484
2021-01-28,92.52234649658203
2021-01-29,91.16314697265625
2021-02-01,94.42134857177734
2021-02-02,95.720458984375
2021-02-03,102.8000259399414
2021-02-04,102.41763305664062
2021-02-05,104.18702697753906
2021-02-08,103.93424987792969
2021-02-09,103.46743774414062
2021-02-10,104.0569076538086
2021-02-11,104.08223724365234
2021-02-12,104.49044036865234
2021-02-16,105.3739013671875
2021-02-17,105.69221496582031
2021-02-18,105.14049530029297
2021-02-19,104.34294128417969
2021-02-22,102.54227447509766
2021-02-23,102.83924102783203
2021-02-24,104.04649353027344
2021-02-25,100.87767028808594
2021-02-26,101.15080261230469
2021-03-01,103.36811828613281
2021-03-02,103.0865478515625
2021-03-03,100.6467514038086
2021-03-04,101.75814819335938
2021-03-05,104.71044158935547
2021-03-08,100.52061462402344
2021-03-09,101.93742370605469
2021-03-10,102.05313110351562
2021-03-11,105.01982116699219
2021-03-12,102.39527893066406
2021-03-15,102.62223815917969
2021-03-16,103.91487884521484
2021-03-17,103.84337615966797
2021-03-18,101.1190185546875
2021-03-19,101.46564483642578
2021-03-22,101.23670196533203
2021-03-23,101.95033264160156
2021-03-24,101.5580062866211
2021-03-25,101.52325439453125
2021-03-26,101.08574676513672
2021-03-29,102.09881591796875
2021-03-30,102.07844543457031
2021-03-31,102.72850799560547
2021-04-01,106.1610107421875
2021-04-05,110.52117156982422
2021-04-06,110.48145294189453
2021-04-07,111.719482421875
2021-04-08,112.50212097167969
2021-04-09,113.51716613769531
2021-04-12,111.9732437133789
2021-04-13,112.59300231933594
2021-04-14,111.97571563720703
2021-04-15,114.0525131225586
2021-04-16,114.10713195800781
2021-04-19,114.33756256103516
2021-04-20,113.90204620361328
