분야,검색어,회사명,직무명,Gen_AI 언급수,Foundation 언급수,Gen_AI 툴,Foundation 툴,링크
디자인,웹 디자인 UI/UX,(주)하이브랩,[하이브랩] 게임 광고 및 게임 웹 UI디자이너 채용,0,3,,"R, Illustrator, Photoshop",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52492469&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,엠비씨(MBC)아카데미 컴퓨터교육센터,"[서울/경기] 수강료 0원 무료 취업교육생 과정모집(인공지능AI,빅데이터,풀스택,웹디자인,게임,메타버스)",0,1,,데이터,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49563552&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)고마오,"온/오프라인 광고 디자이너 채용 (웹디자인, 편집디자인 우대)디",0,5,,"R, Illustrator, Java, After Effects, Photoshop",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52395242&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)더스윙,Product Designer (UX/UI),0,3,,"Figma, R, 데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52455369&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)지온메디텍,[듀얼소닉/(주)지온메디텍] 웹디자이너 채용,0,1,,포토샵,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52447249&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)아이샵케어,[토스플레이스 자회사 iShopCARE] 핵심 직군 공개 채용｜영업·마케팅·디자인·HR·운영·개발 外,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52399394&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)케이스랩,(주 )케이스랩 웹/앱/UIUX 디자이너 5년 이상 경력직 모집 공고,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52461102&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)더프롬,[신입/경력] 웹/콘텐츠/UI/UX 디자이너 모집,0,3,,"R, Illustrator, Photoshop",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52217807&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)부드러운돌멩이,[성수/점심제공] 앱/웹 UX/UI 디자이너 채용(3년이상),0,8,,"Excel, PowerPoint, R, ERP, 데이터, Figma, Illustrator, Photoshop",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52366244&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)스마트소셜,웹디자인(UI/UX/시각디자인) 담장자 채용공고,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52295435&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)테이슨,웹디자이너 (신입/경력),0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52339220&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)이오스시스템,"[안양/마케팅] 웹/UI/UX 디자이너, 콘텐츠 크리에이터 채용",2,1,"GPT, Gemini",일러스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52357910&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)와따에이아이,BtoB 플랫폼 앱웹 UI/UX디자이너,0,2,,"R, 피그마",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52534257&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)대한녹용수출입법인,웹/ 그래픽 디자이너 채용,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52542529&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=2719e2d9-ba86-4708-9598-b5d0102cfaa3
디자인,웹 디자인 UI/UX,(주)닥터뷰,병원 웹사이트 제작/ 웹기획 및 웹디자이너(경력) 구인합니다.,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52298272&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,㈜포뎁스,[디자인팀] 웹디자인/퍼블리싱 정규직(경력직) 모집,0,5,,"R, JavaScript, Java, 포토샵, PPT",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52443448&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)메쎄이상,"[UXD팀] 웹디자이너/웹디자인(UX,UI) 채용",0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52475383&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
