organization,title,category,keywords
마이크로소프트,Microsoft Academy (마이크로소프트 아카데미) Microsoft AI School 9기 | Microsoft Data School 3기,AI/ML,"AI기본, Github, 파이썬, 클라우드, 데이터수집및전처리, 인공신경망및전이학습, 머신러닝"
아시아경제 교육센터,AI·데이터분석 기반 서비스 기획&개발 4기,데이터분석,"Python, PowerBI, 통계, 데이터베이스, SQL, Pandas, Git, JSON, BI, 시각화"
iM뱅크,iM DiGital Banker Academy 데이터 분석 전문가 양성과정 7-8기,데이터사이언스,"파이썬, 금융데이터, Tableau, 시계열모델, 머신러닝, 딥러닝, 추천시스템"
멀티캠퍼스,데이터 분석가 부트캠프(AI 활용) 12월 개강,데이터분석,"python, SQL, 머신러닝, 딥러닝, Git/Github"
청년취업사관학교 도봉캠퍼스,제조AI인재양성부트캠프-생성형AI/빅데이터 실무프로젝트  3기,데이터분석,"파이썬, 머신러닝, 딥러닝, 컴퓨터비전, 머신비전, 시계열분석, 데이터분석, 최적화, 수요예측AI, 생성형AI"
멀티캠퍼스,개발 생산성을 높이는 파이썬 프로그래밍 (with ChatGPT),데이터분석,"Python, ChatGpt, PowerBI"
청년취업사관학교 도봉캠퍼스(SeSAC),AI와 함께 생각하는 AI 서비스 개발자 양성과정,AI서비스,"LangChain, ChatGPT, React, python, CURSOR, GitHub, JAVA, HTML, CSS"
SeSAC,AI 시대 맞춤형 데이터 분석가 양성 과정 강북 3기(추가 모집),데이터분석,"SQL, Python, Tableau, 데이터분석, 데이터시각화, BI, 자동화, AI, 비즈니스, 기획력"
청년취업사관학교 용산캠퍼스,데이터 분석 및 생성형 AI 기반 자동화 시스템 개발 과정,AI서비스,"Claude, LangChain, RAG, HuggingFace, 데이터분석, 서비스기획, python, LLM"
렛유인,AI 활용 디스플레이 공정 데이터분석 및 시각화,데이터분석,"Tidyverse, 데이터시각화, 인터렉티브시각화, ggplot, 통계, 포토공정, 드라이에치, 스퍼터공정, Quarto"
모두의연구소,"스타트업 실무자와 리더 모두 꼭 필요한 ""생성AI 시대” 비즈니스 생존 전략",AI/ML,"AI기술에대한이해, AI접근방법, AI서비스와상용화, AI기업투자전략, AGI, 생성형AI툴"
스파르타코딩클럽,[왕초보] AI와 노코드로 업무 자동화 끝내기,AI서비스,"Zapier, ChatGPT, 업무자동화"
스파르타코딩클럽,실무에 바로 쓰는 바닥부터 시작하는 머신러닝,AI/ML,"Python, Anaconda, Pandas, Numpy, Scikit-learn, 머신러닝, 데이터전처리, 지도학습모델"
모두의연구소,딥러닝 한번에 끝내기,AI/ML,"딥러닝, 머신러닝, AI"
(사)스마트인재개발원,언어지능 실무캠프,AI서비스,"Database, 딥러닝, Spring, 클라우드, 챗봇, Python, Flask, Crawling, Web, JavaScript"
스파르타코딩클럽,AI가 처음이어도 쉽게 배우는 생성형 AI A to Z,AI/ML,"Gradio, HuggingFace, ChatGPT, 챗봇, RAG, VectorDB, 랭체인"
멀티캠퍼스,코드 어시스턴트를 활용한 바이브코딩 [12월 개설],AI/ML,"LLM, AI, 파이썬"
모두의연구소,"[AI 능력자] 바이브 코딩 with Cursor: 챗봇, DB 배포까지",AI서비스,"웹서비스, cursor, 커서, AI풀스택, 챗봇"
스파르타코딩클럽,실무에 바로 쓰는 기초가 탄탄한 딥러닝,AI/ML,"딥러닝, ANN, CNN, RNN, NLP, Transformer, 전이학습, 과적합방지, 모델평가, 최적화기법"
한컴아카데미,NVIDIA AI ACADEMY 9기,AI/ML,"딥러닝, C/C++, 파이썬, 임베디드, CUDA, TensorFlow, RNN,LSTM,GRU"
스파르타코딩클럽,[왕초보] AI 기반 투자 수익률 분석 실습을 통한 데이터 분석 역량 키우기,데이터분석,"파이썬, 라이브러리, API연동, EDA, 딥러닝"
인천일보아카데미 잇츠캠퍼스,코딩없이 배우는 인공지능 기초&챗GPT 활용,AI/ML,"챗GPT, Scratch, 이미지인식, TeachableMachine, MachineLearning, DialogFlow"
윈스펙,쉽게 배워 바로 쓰는 AI 딥러닝 실무 과정,AI/ML,"PyTorch, 파이썬, openCV, CNN"
윈스펙,비전공자도 쉽게 배우는 핀테크 인공지능 기초실습,AI/ML,"핀테크, 머신러닝, 딥러닝, 데이터수집, 데이터전처리, 추천모델"
