combined_text,cluster,pca_1,pca_2
" R, JavaScript, 데이터, AWS, Java, SQL",0,0.3492187088975052,-0.2887696010917381
" R, AWS, SQL, 데이터",0,0.42986593652479343,-0.11146128951552181
" Data, R, Slack, 데이터, Linux, Notion, AWS, SQL, Git",0,0.21136699907330578,-0.24125618201975105
" Data, R, Slack, 데이터, Linux, Notion, AWS, SQL, Git",0,0.21136699907330578,-0.24125618201975105
" R, Docker, 데이터, Spring, SQL, Java, Git",0,0.3985029365030208,-0.41382270659311865
"GPT, Gemini, LLM, Claude Data, R, Kubernetes, 데이터, Jira, Spring, AWS, Java, SQL, Notion",0,0.1628237988598659,-0.2907594375271515
"챗봇 R, Docker, 데이터, Spring, AWS, Java, SQL",0,0.2987290537801874,-0.34841502975955324
"Claude, 프롬프트 R, Kubernetes, 데이터, OA, Spring, AWS, SQL, Java, Git",0,0.25083134774489124,-0.3447063012117894
" R, Spring, Java",0,0.11505584782907412,-0.48605575824973574
"GPT, AI 활용, Cursor R, Spring, AWS, Java, Git",2,0.031998745137396936,-0.3635439180366674
" R, Docker, Kubernetes, 데이터, Spring, AWS, SQL, Java, Git",0,0.39350083311660633,-0.4963445072281091
" R, React, Git",2,-0.0316554368520629,-0.22749493178959784
" R, JavaScript, 데이터, SQL, Java, Vue, React, Git",0,0.2398742299346754,-0.2731440308570234
" Data, R, Docker, 데이터, Linux, SQL, Python, Django, Git",0,0.23600106258342599,-0.27210188862550483
"GPT, LLM R, Docker, Linux, SQL, Python, Git",0,0.07113452595861372,-0.37927186060029344
" R, Slack, 데이터, OA, Figma, Jira, AWS, SQL, Git",0,0.19513149113627642,-0.17121620921379221
" R, Docker, Kubernetes, 데이터, Linux, Spring, AWS, Java, SQL",0,0.377493319113602,-0.4735552188831375
" R, Docker, 데이터, Linux, Python",0,0.27572036904576414,-0.12188478131854494
" R, JavaScript, 데이터, AWS, Java, SQL, Python",0,0.338875442184998,-0.3285795178422842
" Data, R, Docker, Kubernetes, 데이터, Spring, AWS, SQL, Java",0,0.35152249397426627,-0.43829480016063627
" R, Spring, AWS, Java, SQL, Git",0,0.21618219736647626,-0.637379569109576
" R, Kubernetes, Linux, Python, Git",0,0.06397203489274829,-0.37162301671995374
" R, Kubernetes, Linux, Python, Git",0,0.06397203489274829,-0.37162301671995374
" R, 데이터, Vue, React, Git",2,0.17774434141758005,-0.05151179362253759
" Data, R, JavaScript, OA, AWS, SQL, Java, Python, Git",0,0.14218747189633463,-0.4835272306997739
" R, 데이터, Linux, Spring, AWS, SQL, Git",0,0.36454371233306143,-0.36130141736984717
" R, AWS, Java",0,0.11563327012004544,-0.4608389739652307
 R,2,-0.10025473039657828,-0.06177524821727251
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" Excel, R",8,-0.17519534738422315,0.05103248300316905
 R,2,-0.10025473039657828,-0.06177524821727251
" Excel, R, ERP, OA",8,-0.29164780959047415,0.16526180283392322
 R,2,-0.10025473039657828,-0.06177524821727251
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" Excel, R",8,-0.17519534738422315,0.05103248300316905
" 엑셀, R",6,-0.47456671345232015,0.2152681943960802
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" 엑셀, R",6,-0.47456671345232015,0.2152681943960802
" Excel, R, ERP, 데이터",8,-0.03191068428891852,0.4146531040681136
" 엑셀, R",6,-0.47456671345232015,0.2152681943960802
" R, OA, ERP, 데이터",1,0.038063127160102926,0.3626598379805796
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
" 엑셀, OA",1,-0.3385485008428982,0.14272613477462498
" Excel, R, ERP",8,-0.35093375682603123,0.20166719317716808
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" R, ERP, OA",1,-0.2854398678755361,0.1387505677946184
" R, ERP",7,-0.4043889954239821,0.21626579330260084
" 엑셀, R, ERP, SAP, PPT",5,-0.4815583070737328,0.23000659725621384
" 엑셀, R, ERP, OA",1,-0.46507095037368895,0.26050817219808176
 엑셀,6,-0.47456671345232015,0.2152681943960802
" 엑셀, R, ERP, SAP",5,-0.5261609658488348,0.26807623606224784
" Excel, R, ERP, 데이터, SAP",5,-0.11432714051000661,0.35129874750908346
" Excel, PowerPoint, R, ERP, 데이터",8,-0.0679871832423332,0.3109273020253242
" 엑셀, R",6,-0.47456671345232015,0.2152681943960802
 R,2,-0.10025473039657828,-0.06177524821727251
" R, ERP, SAP",5,-0.3687697865963975,0.1541944567260458
" Excel, R, ERP, 데이터, Tableau, SAP",5,-0.11432714051000661,0.35129874750908346
 엑셀,6,-0.47456671345232015,0.2152681943960802
" R, ERP",7,-0.4043889954239821,0.21626579330260084
 R,2,-0.10025473039657828,-0.06177524821727251
" R, ERP",7,-0.4043889954239821,0.21626579330260084
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
" Excel, PowerPoint, ERP, R",8,-0.29644128414971144,0.1474946699193246
" 엑셀, R, ERP",6,-0.5810568750643436,0.3305946234103573
" Excel, R, ERP, 데이터, SQL",8,0.04401865470760507,0.23472248135751383
 R,2,-0.10025473039657828,-0.06177524821727251
" R, OA, ERP, 데이터",1,0.038063127160102926,0.3626598379805796
 R,2,-0.10025473039657828,-0.06177524821727251
" R, ERP, SAP",5,-0.3687697865963975,0.1541944567260458
" R, 데이터",3,0.6621841195505751,0.5352238023587865
 R,2,-0.10025473039657828,-0.06177524821727251
 엑셀,6,-0.47456671345232015,0.2152681943960802
 R,2,-0.10025473039657828,-0.06177524821727251
" 프리미어, Excel, R, 데이터",8,0.09699030812004356,0.21918104604625469
 엑셀,6,-0.47456671345232015,0.2152681943960802
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
" Excel, R, ERP, 데이터",8,-0.03191068428891852,0.4146531040681136
 R,2,-0.10025473039657828,-0.06177524821727251
 R,2,-0.10025473039657828,-0.06177524821727251
" 엑셀, R",6,-0.47456671345232015,0.2152681943960802
 포토샵,4,-0.2117241886551001,-0.03991865079604219
" 일러스트, R, 피그마, 포토샵",4,-0.19040274518032446,-0.048880735718565056
" R, 포토샵, PPT",4,-0.21620928512281123,-0.017502098817772965
 프리미어,2,-0.1321544185890559,-0.06121518284845041
" Figma, Photoshop",9,-0.14618365235995653,-0.10522000306380618
AI 활용 R,2,-0.10937443757207399,-0.09649453958405525
" R, Illustrator, Photoshop",2,-0.17552775527446152,-0.11761195434786205
"AI 활용 Figma, R, Java, JavaScript",2,-0.03697170234946576,-0.23595779723046348
" Figma, R, Photoshop",9,-0.14618365235995653,-0.10522000306380618
" Figma, R, Illustrator, Photoshop",9,-0.16302314211882007,-0.11484158665252481
" Figma, R",9,-0.10096473395482415,-0.07392190899565373
"LLM R, Kubernetes, OA, Figma, Notion, AWS, SQL, React, TensorFlow, Illustrator, After Effects, Photoshop, GA4, Excel, 데이터, PyTorch, PPT, 엑셀, ERP, Vue",2,-0.10778571595577603,-0.04091320891993032
" After Effects, R",2,-0.12821537646454326,-0.08680454565842496
" 일러스트, 포토샵",4,-0.21291489711352057,-0.048725197666391176
" R, JavaScript, 데이터, Linux, Spring, Java, SQL",0,0.33015412383218024,-0.34371044019167313
" R, Illustrator, Photoshop",2,-0.17552775527446152,-0.11761195434786205
 데이터,3,0.6621841195505751,0.5352238023587865
" R, Illustrator, Java, After Effects, Photoshop",2,-0.11216373285136194,-0.2205347907556735
" Figma, R, 데이터",9,0.26444196960568467,0.21361319966938205
 포토샵,4,-0.2117241886551001,-0.03991865079604219
" R, Illustrator, Photoshop",2,-0.17552775527446152,-0.11761195434786205
" Excel, PowerPoint, R, ERP, 데이터, Figma, Illustrator, Photoshop",8,-0.11989930527597098,0.1727250578021253
"GPT, Gemini 일러스트",2,-0.13202648216168325,-0.07870462244265125
" R, 피그마",2,-0.10924678398737275,-0.05704442607900629
" R, JavaScript, Java, 포토샵, PPT",4,-0.09793083257196235,-0.2076648028122818
" R, 피그마",2,-0.10924678398737275,-0.05704442607900629
" Excel, R",8,-0.17519534738422315,0.05103248300316905
" Figma, 데이터",9,0.26444196960568467,0.21361319966938205
" R, Photoshop, 포토샵",4,-0.2236781353423263,-0.08277528596486876
" Figma, R, Git",9,-0.03663274462358066,-0.20159018179853824
" R, Illustrator, Photoshop",2,-0.17552775527446152,-0.11761195434786205
