organization,title,category,keywords,source
마이크로소프트,Microsoft Academy (마이크로소프트 아카데미) Microsoft AI School 9기 | Microsoft Data School 3기,AI/ML,"AI기본, Github, 파이썬, 클라우드, 데이터수집및전처리, 인공신경망및전이학습, 머신러닝",data_category
아시아경제 교육센터,AI·데이터분석 기반 서비스 기획&개발 4기,데이터분석,"Python, PowerBI, 통계, 데이터베이스, SQL, Pandas, Git, JSON, BI, 시각화",data_category
iM뱅크,iM DiGital Banker Academy 데이터 분석 전문가 양성과정 7-8기,데이터사이언스,"파이썬, 금융데이터, Tableau, 시계열모델, 머신러닝, 딥러닝, 추천시스템",data_category
멀티캠퍼스,데이터 분석가 부트캠프(AI 활용) 12월 개강,데이터분석,"python, SQL, 머신러닝, 딥러닝, Git/Github",data_category
청년취업사관학교 도봉캠퍼스,제조AI인재양성부트캠프-생성형AI/빅데이터 실무프로젝트  3기,데이터분석,"파이썬, 머신러닝, 딥러닝, 컴퓨터비전, 머신비전, 시계열분석, 데이터분석, 최적화, 수요예측AI, 생성형AI",data_category
멀티캠퍼스,개발 생산성을 높이는 파이썬 프로그래밍 (with ChatGPT),데이터분석,"Python, ChatGpt, PowerBI",data_category
청년취업사관학교 도봉캠퍼스(SeSAC),AI와 함께 생각하는 AI 서비스 개발자 양성과정,AI서비스,"LangChain, ChatGPT, React, python, CURSOR, GitHub, JAVA, HTML, CSS",data_category
SeSAC,AI 시대 맞춤형 데이터 분석가 양성 과정 강북 3기(추가 모집),데이터분석,"SQL, Python, Tableau, 데이터분석, 데이터시각화, BI, 자동화, AI, 비즈니스, 기획력",data_category
청년취업사관학교 용산캠퍼스,데이터 분석 및 생성형 AI 기반 자동화 시스템 개발 과정,AI서비스,"Claude, LangChain, RAG, HuggingFace, 데이터분석, 서비스기획, python, LLM",data_category
렛유인,AI 활용 디스플레이 공정 데이터분석 및 시각화,데이터분석,"Tidyverse, 데이터시각화, 인터렉티브시각화, ggplot, 통계, 포토공정, 드라이에치, 스퍼터공정, Quarto",data_category
코드잇,[4주 완성] 누구나 쉽게 써먹는 파이썬 데이터 분석,데이터분석,"파이썬, Pandas, Numpy, Seaborn, Matplotlib, 통계기초, 대형마트고객데이터분석프로젝트",data_category
모두의연구소,"스타트업 실무자와 리더 모두 꼭 필요한 ""생성AI 시대” 비즈니스 생존 전략",AI/ML,"AI기술에대한이해, AI접근방법, AI서비스와상용화, AI기업투자전략, AGI, 생성형AI툴",data_category
스파르타코딩클럽,[왕초보] AI와 노코드로 업무 자동화 끝내기,AI서비스,"Zapier, ChatGPT, 업무자동화",data_category
스파르타코딩클럽,실무에 바로 쓰는 바닥부터 시작하는 머신러닝,AI/ML,"Python, Anaconda, Pandas, Numpy, Scikit-learn, 머신러닝, 데이터전처리, 지도학습모델",data_category
