ai_tool,IT/개발,검증된리뷰어,경영/관리,고객지원,교육/연구,기타,데이터/분석,디자인/UX,마케팅/영업,프리랜서
Adobe Premiere Pro,6.3,5.3,4.3,2.7,4.3,7.4,1.0,11.3,5.2,9.2
Canva,16.6,10.7,22.4,12.2,32.1,34.4,5.1,31.1,26.9,16.4
Figma,9.9,11.1,7.0,1.4,4.9,4.0,2.3,34.9,6.5,7.9
GitHub Copilot,0.5,0.6,0.1,0.0,0.0,0.3,0.2,0.2,0.5,0.0
Grammarly,22.4,24.1,19.5,29.7,30.9,20.5,14.8,9.1,20.4,61.8
Monday.com,24.3,14.9,29.9,32.4,5.2,19.0,15.6,11.3,24.4,1.3
Tableau,20.0,33.4,16.8,21.6,22.5,14.5,61.1,2.2,16.0,3.3
